missingTCGDateIDs,
37675138,3/3/2009
37557626,7/24/2012
37507488,1/18/2008
37474917,3/1/2013
37436476,12/6/2011
37383714,6/18/2008
37364101,null
37241623,null
37195861,9/1/2008
37115575,10/30/2012
37104630,10/16/2012
36870345,3/8/2011
36834155,3/8/2013
36757171,4/26/2013
36737092,3/3/2009
36717258,7/20/2010
36623431,1/9/2010
36521459,11/1/2011
36405256,5/10/2011
35984222,3/3/2009
35952884,12/1/2011
35950025,3/8/2013
35638627,12/7/2010
35631584,4/26/2013
35618486,7/24/2012
35419032,4/26/2013
35209994,4/26/2013
35112613,3/8/2013
35050257,10/4/2011
34838437,3/8/2013
34796454,3/8/2013
34109611,7/24/2012
34086406,4/26/2013
33972299,7/20/2010
33951077,7/31/2009
33866130,9/25/2010
33776734,6/2/2009
33695750,11/21/2008
33198837,7/20/2010
33093439,4/9/2011
33017655,10/18/2011
32751480,11/30/2012
32744558,9/25/2010
32646477,3/3/2009
31924889,3/3/2009
31890399,3/20/2012
31456110,4/26/2013
31305911,7/26/2007
31303283,2/8/2013
31038159,7/1/2011
30915572,11/28/2008
30757396,8/6/2011
30741334,7/12/2013
30683373,7/26/2007
30608985,6/14/2013
30585393,6/14/2013
30461781,7/26/2007
30399511,8/17/2010
30334522,2/1/2013
30312361,12/12/2007
30299166,12/7/2010
30276969,6/23/2010
30208479,10/2/2012
29905795,4/19/2011
29888389,12/6/2011
29863101,3/3/2009
29654737,7/8/2008
29587993,7/20/2010
29353756,6/14/2013
29216967,null
29095552,3/20/2012
29054481,6/23/2010
28741524,3/3/2008
28649820,7/8/2008
28637168,6/14/2013
28573958,6/14/2011
28529976,3/3/2009
28465301,7/24/2012
28429121,7/24/2012
28348537,8/18/2011
28332833,8/17/2010
28194325,null
28183605,12/7/2010
28066831,12/6/2011
27971137,null
27827903,4/19/2011
27762803,7/20/2010
27564031,2/22/2011
27541267,4/26/2013
27527047,4/19/2011
27416701,12/8/2008
27315304,11/10/2009
27207573,7/24/2012
27126980,12/6/2011
27054370,8/7/2005
27004302,12/6/2011
26993374,11/10/2009
26932788,7/26/2007
26722601,12/6/2011
26704411,4/19/2011
26701483,3/11/2008
26593852,11/10/2009
26563200,4/17/2012
26509612,7/31/2008
26381750,12/6/2011
26376390,7/8/2008
26304459,4/19/2011
26302522,7/8/2008
25988873,4/19/2011
25866285,4/19/2011
25771826,11/10/2009
25682811,4/19/2011
25654671,7/20/2010
25460258,2/7/2012
25341652,4/17/2012
25171661,6/23/2010
25090294,7/31/2008
24857466,8/31/2010
24644634,4/19/2011
24449083,10/4/2011
24433921,null
24433920,7/1/2011
24432029,7/20/2010
24291651,7/17/2011
24040093,7/20/2010
23995347,null
23995346,4/2/2008
23950192,11/10/2009
23927545,7/20/2010
23168060,7/12/2011
23093604,5/11/2010
23015896,2/8/2013
22993208,2/8/2013
22837504,11/10/2009
22610082,9/12/2007
22371016,11/16/2010
22346472,7/12/2011
22061412,3/1/2011
22009013,12/6/2011
21702241,3/3/2009
21615956,11/10/2009
21496848,7/24/2012
21323861,6/30/2005
21208154,11/2/2010
20700531,7/20/2010
20686759,3/9/2009
20638610,2/7/2012
20586572,3/20/2007
20374351,7/24/2012
20154092,null
20127343,4/19/2011
20101223,4/28/2006
20032555,7/24/2012
19959742,7/24/2012
19932396,12/6/2011
19642774,10/26/2010
19605133,4/19/2011
19439119,12/7/2010
19204398,5/11/2010
19163116,7/24/2012
19012345,7/12/2013
18816758,12/6/2011
18631392,3/20/2012
18482591,4/19/2011
18446701,3/8/2013
18430390,6/25/2007
18282103,4/19/2011
18063928,4/26/2013
18060565,3/8/2011
17948378,4/19/2011
17896384,3/3/2009
17760003,4/19/2011
17649753,7/20/2010
17559367,5/28/2012
17548456,4/19/2011
17502671,10/2/2012
17484499,7/8/2008
17418744,3/20/2012
17377751,4/2/2013
17241370,4/26/2013
17129783,4/26/2013
16940215,7/20/2010
16906241,4/26/2013
16898077,3/3/2009
16828633,7/20/2001
16751086,11/17/2009
16693254,4/26/2013
16674846,3/3/2009
16527176,7/20/2010
16191953,5/12/2009
16111820,4/19/2011
15914410,7/12/2013
15871676,4/26/2013
15658249,11/10/2009
15605085,7/20/2010
15574615,4/26/2013
15552258,3/3/2009
15471265,11/10/2009
15341821,10/4/2011
15270885,7/27/2005
15169262,12/6/2011
14983497,7/20/2010
14943837,3/3/2009
14936691,11/10/2009
14759024,4/26/2013
14731897,9/1/2006
14730606,3/3/2009
14613029,3/3/2009
14344682,2/23/2010
14152862,7/12/2013
14047624,12/6/2011
13893596,11/2/2010
13821299,3/3/2009
13761956,7/20/2010
13361027,12/7/2010
13220032,12/6/2011
13108445,12/6/2011
13030280,7/12/2013
12986807,12/6/2011
12829151,6/27/2003
12235475,12/7/2010
11877465,12/6/2011
11834972,7/24/2012
11722335,12/7/2010
11508758,3/12/2008
11390349,12/7/2012
11287364,3/20/2012
11260714,10/4/2011
11224934,7/12/2011
11159464,6/23/2010
11012887,5/29/2012
10755984,12/6/2011
10712320,7/24/2012
10178757,12/7/2010
10026986,2/8/2011
10002346,10/22/2011
10000021,null
10000020,null
10000011,null
10000010,null
10000001,null
10000000,null
9888196,null
9718968,null
9666558,null
9327502,null
9236985,null
9056100,null
8822710,null
8814959,null
8692301,null
8611007,null
8594079,null
8414337,null
8400623,null
8316661,null
8310162,null
8233522,null
8041569,null
7845138,null
7736719,null
7700132,null
7634581,null
7478431,null
7200041,null
6840573,null
6588580,null
6256844,null
5861892,null
5640330,null
5284653,null
4904812,null
4611269,null
4587638,null
4545683,null
4058065,null
3989465,null
3891471,null
3814632,null
3648368,null
3642509,null
3536537,null
3492538,null
